日,날일,じつ·にち,か·ひ
陸,뭍 륙(육),りく,
疑,"의심할 의, 안정할 응",ぎ,うたがう
程,"한도 정, 길 정",てい,ほど
帯,띠 대,たい,おび·おびる
努,힘쓸 노,ど,つとめる
固,굳을 고,こ,かたい·かたまる·かためる
接,이을 접,せつ,つぐ
散,흩을 산,さん,ちらかす·ちらかる·ちらす·ちる
章,글 장,しょう,
静,고요할 정,せい·じょう,しず·しずか·しずまる·しずめる
効,본받을 효,こう,きく
供,이바지할 공,きょう·く,そなえる·とも
喜,기쁠 희,き,よろこぶ
囲,둘레 위,い,かこう·かこむ
卒,마칠 졸,そつ,
割,벨 할,かつ,わり·わる·われる·さく
旧,옛 구,きゅう,
酒,술 주,しゅ,さか·さけ
順,순할 순,じゅん,
難,"어려울 난, 우거질 나",なん,むずかしい·かたい
黄,누를 황,おう·こう,き·こ
補,"기울 보, 도울 보",ほ,おぎなう
悲,슬플 비,ひ,かなしい·かなしむ
秒,"분초 초, 까끄라기 묘",びょう,
優,"넉넉할 우, 뛰어날 우",ゆう,すぐれる·やさしい
師,스승 사,し,
収,거둘 수,しゅう,おさまる·おさめる
易,"바꿀 역, 쉬울 이",い·えき,やさしい
雲,"구름 운, 이를 운",うん,くも
老,늙을 로(노),ろう,おいる·ふける
令,하여금 령(영),れい,
糸,실 사,し,いと
券,문서 권,けん,
宅,"댁 댁, 집 택",たく,
暗,어두울 암,あん,くらい
徒,무리 도,と,
破,깨드릴 파,は,やぶる·やぶれる
編,엮을 편,へん,あむ
警,깨우칠 경,けい,
貨,재물 화,か,
鳴,울 명,めい,なく·ならす·なる
責,"꾸짖을 책, 빚 채",せき,せめる
訪,찾을 방,ほう,たずねる·おとずれる
採,"캘 채, 풍채 채",さい,とる
季,계절 계,き,
陽,볕 양,よう,
域,지경 역,いき,
欠,"이지러질 결, 하품 흠",けつ,かく·かける
因,인할 인,いん,よる
皮,가죽 피,ひ,かわ
底,밑 저,てい,そこ
富,부자 부,ふ·ふう,とみ·とむ
担,멜 담,たん,かつぐ·になう
歯,이 치,し,は
貿,무역할 무,ぼう,
講,"욀 강, 얽을 구",こう,
河,물 하,か,かわ
柱,기둥 주,ちゅう,はしら
願,원할 원,がん,ねがう
希,바랄 희,き,
祭,제사 제,さい,まつり·まつる
適,맞을 적,てき,
婦,며느리 부,ふ,
寄,부칠 기,き,よせる·よる
筆,붓 필,ひつ,ふで
余,"나 여, 남을 여",よ,あます·あまる
禁,금할 금,きん,
逆,거스릴 역,ぎゃく,さか·さからう
童,아이 동,どう,わらべ
若,"같을 약, 반야 야",じゃく·にゃく,わかい·もしくは
笑,웃음 소,しょう,わらう·えむ
脳,"머리 뇌, 뇌 뇌",のう,
久,오랠 구,きゅう·く,ひさしい
束,묶을 속,そく,たば
