日,날일,じつ·にち,か·ひ
汰,일 태,た,
旦,아침 단,たん·だん,
紬,명주 주,ちゅう,つむぎ·つむぐ
汀,물가 정,てい,なぎさ·みぎわ
凪,그칠 지,,なぎ·なぐ
捺,누를 날,だつ·なつ,おす
柊,호랑가시나무 종,しゅう,ひいらぎ
楓,단풍 풍,ふう,かえで
括,묶을 괄,かつ,
駆,몰 구,く,かける·かる
透,사무칠 투,とう,すかす·すく·すける
津,나루 진,しん,つ
壁,벽 벽,へき,かべ
稲,벼 도,とう,いな·いね
裂,찢어질 렬(열),れつ,さく·さける
敏,민첩할 민,びん,
是,"이 시, 옳을 시",ぜ,
排,밀칠 배,はい,
裕,넉넉할 유,ゆう,
堅,굳을 견,けん,かたい
芝,지초 지,,しば
綱,벼리 강,こう,つな
覧,볼 람,らん,
扱,"거둘 급, 거두어가질 흡, 꽂을 삽",,あつかう
顧,돌아볼 고,こ,かえりみる
訟,송사할 송,しょう,
戒,경계할 계,かい,いましめる
祉,복 지,し,
誉,명예 예,よ,ほまれ
歓,기뻐할 환,かん,
奮,떨칠 분,ふん,ふるう
勧,권할 권,かん,すすめる
奈,"어찌 내, 어찌 나",な,
騒,떠들 소,そう,さわぐ
閥,문벌 벌,ばつ,
甲,"갑옷 갑, 친안할 압",かん·こう,
縄,줄 승,じょう,なわ
揺,흔들릴 요,よう,ゆさぶる·ゆすぶる·ゆする·ゆらぐ·ゆる·ゆるぐ·ゆれる
免,"면할 면, 해산할 문",めん,まぬかれる
既,이미 기,き,すでに
薦,"천거할 천, 꽂을 진",せん,すすめる
隣,이웃 린(인),りん,となり·となる
華,빛날 화,か·け,はな
範,법 범,はん,
隠,"숨길 은, 숨을 은",いん,かくす·かくれる
哲,밝을 철,てつ,
杉,삼나무 삼,,すぎ
釈,"해석할 석, 풀 석",しゃく,
妥,온당할 타,だ,
威,"위엄 위, 두려워할 외",い,
豪,호걸 호,ごう,
滞,막힐 체,たい,とどこおる
微,작을 미,び,
隆,높을 륭(융),りゅう,
症,증세 증,しょう,
暫,잠깐 잠,ざん,
肝,간 간,かん,きも
喚,부를 환,かん,
妙,묘할 묘,みょう,
索,"찾을 색, 노 삭",さく,
后,"임금 후, 왕후 후",こう,
襲,엄습할 습,しゅう,おそう
懇,간절할 간,こん,ねんごろ
班,나눌 반,はん,
柄,자루 병,へい,え·がら
驚,놀랄 경,きょう,おどろかす·おどろく
麻,삼 마,ま,あさ
舌,혀 설,ぜつ,した
剤,약 지을 제,ざい,
瀬,여울 뢰,,せ
趣,"뜻 취, 재촉할 촉",しゅ,おもむき
陥,빠질 함,かん,おちいる·おとしいれる
斎,재계할 재,さい,
貫,"꿸 관, 당길 만",かん,つらぬく
仙,신선 선,せん,
慰,위로할 위,い,なぐさむ·なぐさめる
旬,열흘 순,しゅん·じゅん,
兼,겸할 겸,けん,かねる
旨,뜻 지,し,むね
即,곧 즉,そく,
柳,버들 류(유),りゅう,やなぎ
偽,거짓 위,ぎ,いつわる·にせ
較,"견줄 교, 비교할 교, 차이 각",かく,
覇,"으뜸 패, 두목 패",は,
詳,"자세할 상, 거짓 양",しょう,くわしい
抵,막을 저,てい,
脅,"위협할 협, 겨드랑이 협",きょう,おどかす·おどす·おびやかす
鹿,사슴 록(녹),,か·しか
茂,무성할 무,も,しげる
犠,희생 희,ぎ,
距,상거할 거,きょ,
雅,맑을 아,が,
飾,꾸밀 식,しょく,かざる
網,그물 망,もう,あみ
竜,용 룡,りゅう,たつ
繁,"번성할 번, 뱃대끈 반, 성 파",はん,
翼,날개 익,よく,つばさ
潟,개펄 석,,かた
魅,매혹할 매,み,
嫌,싫어할 혐,けん·げん,いや·きらう
斉,가지런할 제,せい,
敷,펼 부,ふ,しく
擁,낄 옹,よう,
寸,마디 촌,すん,
圏,우리 권,けん,
罰,벌할 벌,ばち·ばつ,
滅,"꺼질 멸, 멸할 멸",めつ,ほろびる·ほろぼす
礎,주춧돌 초,そ,いしずえ
烈,매울 렬(열),れつ,
尋,찾을 심,じん,たずねる
稿,"볏짚 고, 원고 고",こう,
丹,"붉을 단, 정성스러울 란(난)",たん,
啓,열 계,けい,
丘,언덕 구,きゅう,おか
棟,마룻대 동,とう,むね·むな
壌,부드러운 흙 양,じょう,
漫,흩어질 만,まん,
玄,검을 현,げん,
粘,붙을 점,ねん,ねばる
悟,깨달을 오,ご,さとる
舗,펼 포,ほ,
妊,아이 밸 임,にん,
騰,오를 등,とう,
遂,드디어 수,すい,とげる
狂,미칠 광,きょう,くるう·くるおしい
岐,갈림길 기,き,
緯,씨 위,い,
培,"복돋울 배, 언덕 부",ばい,つちかう
衰,"쇠할 쇠, 상옷 최, 도롱이 사",すい,おとろえる
艇,배 정,てい,
屈,굽힐 굴,くつ,
淡,맑을 담,たん,あわい
抽,뽑을 추,ちゅう,
披,헤칠 피,ひ,
廷,조정 정,てい,
准,"준할 준, 콧마루 절",じゅん,
奨,"권장할 장, 권면할 장",しょう,
浸,잠길 침,しん,ひたす·ひたる
剰,남을 잉,じょう,
胆,쓸게 담,たん,
繊,가늘 섬,せん,
虚,빌 허,きょ·こ,
霊,신렬 령,れい·りょう,たま
悔,뉘우칠 회,かい,くいる·くやしい·くやむ
諭,타이를 유,ゆ,さとす
絹,비단 견,けん,きぬ
惨,참혹할 참,さん·ざん,みじめ
虐,모질 학,ぎゃく,しいたげる
翻,"날 번, 뒤칠 번",ほん,ひるがえす·ひるがえる
墜,떨어질 추,つい,
沼,못 소,しょう,ぬま
据,의지할 거,,すえる·すわる
徐,천천할 서,じょ,
搭,탈 탑,とう,
盾,"방패 순, 사람 이름 돈",じゅん,たて
滝,"비 올 롱, 여울 랑",,たき
軌,바퀴 자국 궤,き,
妨,방해할 방,ぼう,さまたげる
擦,문지를 찰,さつ,する·すれる
尺,자 척,しゃく,
鯨,고래 경,げい,くじら
荘,"별장 장, 장중할 장",そう,
諾,허락할 낙(락),だく,
雷,우뢰 뢰(뇌),らい,かみなり
漂,떠다닐 표,ひょう,ただよう
懐,품을 회,かい,なつかしい·なつかしむ·なつく·なつける·ふところ
勘,헤아릴 감,かん,
栽,심을 재,さい,
拐,후릴 괴,かい,
駄,실을 타,だ,
添,더할 첨,てん,そう·そえる
冠,갓 관,かん,かんむり
斜,"비낄 사, 골짜기 이름 야",しゃ,ななめ
宏,클 굉,こう,おおきい·ひろい
浪,물결 랑(낭),ろう,
亜,버금 아,あ,
詐,속일 사,さ,
壇,"단 단, 항아리 담",たん·だん,
勲,공 훈,くん,
魔,마귀 마,ま,
酬,갚을 수,しゅう,
紫,자주빛 자,し,むらさき
紋,무늬 문,もん,
卸,풀 사,,おろし·おろす
欄,난간 란(난),らん,
逸,편안할 일,いつ,
涯,물가 애,がい,
拓,"넓힐 척, 박을 탁",たく,
獄,옥 옥,ごく,
尚,오히려 상,しょう,
彫,새길 조,ちょう,ほる
穏,평온할 온,おん,おだやか
顕,"밝을 현, 나타낼 현",けん,
巧,공교할 교,こう,たくみ
矛,창 모,む,ほこ
垣,담 원,,かき
欺,속일 기,ぎ,あざむく
釣,"낚을 조, 낚시 조",ちょう,つる
粧,단단할 장,しょう,
之,갈 지,し,これ·この·の·ゆく
粛,엄숙하다 숙,しゅく,
愚,어리석을 우,ぐ,おろか
遭,만날 조,そう,あう
架,시렁 가,か,かかる·かける
鬼,귀신 귀,き,おに
庶,여러 서,しょ,
梨,배 리(이),,なし
稚,어릴 치,ち,
腐,썩을 부,ふ,くさらす·くさる·くされる
脚,다리 각,きゃく·きゃ,あし
智,"슬기 지, 지혜 지",ち,さとい·ちえ
磁,자석 자,じ,
尽,다할 진,じん,つかす·つきる·つくす
僕,종 복,ぼく,
滑,"미끄러울 활, 익살스러울 골",かつ·こつ,すべる·なめらか
孤,"고아 고, 외롭다 고",こ,
炎,"불꽃 염, 아름다울 담",えん,ほのお
賠,물어줄 배,ばい,
寿,목숨 수,じゅ,ことぶき
頑,완고할 완,がん,
鎖,쇠사슬 쇄,さ,くさり
彩,채색 채,さい,いろどる
摩,문지를 마,ま,
励,힘쓸 려,れい,はげます·はげむ
輝,빛날 휘,き,かがやく
蓄,모을 축,ちく,たくわえる
軸,굴대 축,じく,
巡,"돌 순, 순행할 순",じゅん,めぐる
稼,심을 가,か,かせぐ
瞬,눈 깜작일 순,しゅん,またたく
垂,드리울 수,すい,たらす·たれる
砲,대포 포,ほう,
噴,뿜을 분,ふん,ふく
誇,자랑할 과,こ,ほこる
祥,상서 상,しょう,
牲,희생 생,せい,
秩,차례 질,ちつ,
帝,임금 제,てい,
唆,부추길 사,さ,そそのかす
阻,막힐 조,そ,はばむ
泰,클 태,たい,
賄,"재물 회, 뇌물 회",わい,まかなう
撲,"칠 박, 종아리채 복",ぼく,
堀,굴 굴,,ほり
弘,클 홍,ぐ·こう,ひろい·ひろめる
菊,국화 국,きく,
絞,"목맬 교, 초록빛 효",こう,しぼる·しまる·しめる
穀,"곡식 곡, 어린아이 누",こく,
縁,인연 연,えん,ふち
唯,오직 유,ゆい·い,
膨,붙을 팽,ぼう,ふくらむ·ふくれる
耐,견딜 내,たい,たえる
塾,글방 숙,じゅく,
漏,샐 루(누),ろう,もらす·もる·もれる
慶,경사 경,けい,
猛,사나울 맹,もう,
芳,꽃다울 방,ほう,かんばしい
懲,징계할 징,ちょう,こらしめる·こらす·こりる
剣,칼 검,けん,つるぎ
彰,드러날 창,しょう,
棋,바둑 기,き,
恒,"항상 항, 반달 긍",こう,
揚,날릴 양,よう,あがる·あげる
冒,"무릅쓸 모, 선우 이름 묵",ぼう,おかす
倫,인륜 륜(윤),りん,
陳,"베풀 진, 묵을 진",ちん,
憶,생각할 억,おく,
潜,"자맥질할 잠, 잠길 잠",せん,ひそむ·もぐる
熊,곰 웅,,くま
克,이길 극,こく,
岳,큰 산 악,がく,たけ
概,"대개 개, 평미레 개",がい,
拘,잡을 구,こう,
黙,"말 없을 묵, 잠잠할 묵",もく,だまる
偏,치우칠 편,へん,かたよる
雰,눈 날릴 분,ふん,
遇,만날 우,ぐう,
彦,선비 언,げん,ひこ
諮,물을 자,し,はかる
狭,좁을 협,きょう,せばまる·せばめる·せまい
卓,높을 탁,たく,
阿,"언덕 아, 호칭 옥",あ,お·おもねる·くま·ひさし·よる
糧,양식 량(양),りょう·ろう,かて
簿,"문서 부, 잠박 박",ぼ,
炉,화로 로,ろ,
殊,다를 수,しゅ,こと
殖,불릴 식,しょく,ふえる·ふやす
艦,큰 배 함,かん,
輩,무리 배,はい,
奇,기특할 기,き,
慢,거만할 만,まん,
謀,꾀 모,ぼう·む,はかる
拍,칠 박,はく·ひょう,
李,"오얏 리(이), 성 리(이)",り,すもも
丈,어른 장,じょう,たけ
浩,"넓을 호, 술 그를 고",こう,おおい·おおきい·おごる·ひろい
寛,너그러울 관,かん,
覆,"다시 복, 덮을 부",ふく,おおう·くつがえす·くつがえる
胞,세포 포,ほう,
隔,사이 뜰 격,かく,へだたる·へだてる
浄,깨끗할 정,じょう,
没,"가라앉을 몰, 잠길 몰",ぼつ,
暇,"틈 가, 겨를 가",か,ひま
貞,곧을 정,てい,
鑑,거울 감,かん,かんがみる
陰,응달 음,いん,かげ·かげる
銘,새길 명,めい,
随,따를 수,ずい,
鋳,쇠 부어 만들 주,ちゅう,いる
抹,지울 말,まつ,
尉,"벼슬 위, 위로할 위, 다리미 울",い,
隷,"종 례(예), 미칠 이, 미칠 대",れい,
禍,재앙 화,か,
酪,쇠젖 락(낙),らく,
茎,줄기 경,けい,くき
帥,"장수 수, 거느릴 솔",すい,
逝,갈 서,せい,いく·ゆく
匿,숨길 닉(익),とく,
襟,옷깃 금,きん,えり
蛍,개똥벌레 형,けい,ほたる
寡,적을 과,か,
痢,이질 리(이),り,
庸,"떳떳할 용, 쓸 용",よう,
坑,구덩이 갱,こう,
楊,버들 양,よう,やなぎ
駿,준마 준,しゅん·すん,すぐれる
賊,도둑 적,ぞく,
搾,짤 착,さく,しぼる
亮,밝을 량(양),りょう,あきらか·すけ
畔,"밭두둑 반, 배반할 반",はん,
孔,구멍 공,こう,
吾,"나 오, 친하지 않을 어",ご,わが·われ
椿,참죽나무 춘,ちん,つばき
拷,칠 고,ごう,
嬢,계집애 양,じょう,
渓,시내 계,けい,
翁,늙은이 옹,おう,
圭,"서옥 규, 홀 규",けい,たま
廉,청렬할 렴(염),れん,
蓮,연꽃 련(연),れん,はす·はちす
謹,삼갈 근,きん,つつしむ
窯,기와 가마 요,よう,かま
褒,"기릴 포, 모을 부",ほう,ほめる
醜,추할 추,しゅう,みにくい
升,되 승,しょう,ます
殉,따라 죽을 순,じゅん,
煩,번거로울 번,はん·ぼん,わずらう·わずらわす
劾,꾸짖을 핵,がい,
堕,떨어질 타,だ,
租,조세 조,そ,
桟,잔도 잔,さん,
婿,사위 서,せい,むこ
慕,그릴 모,ぼ,したう
瑞,상서 서,すい·ずい,
罷,"마칠 파, 고달플 피",ひ,
矯,바로잡을 교,きょう,ためる
某,"아무 모, 매화 매",ぼう,
囚,가둘 수,しゅう,
伍,다섯 사람 오,ご,いつつ·くみ
泌,"샘물 졸졸 흐를 필, 스밀 비",ひつ·ひ,
蘭,난초 란(난),らん,あららぎ·ふじばかま
漸,"점점 점, 적실 점",ぜん,
蚊,모기 문,,か
秦,성 진,しん,はた
茅,띠 모,ぼう,かや·ち·ちがや
厄,액 액,やく,
藻,마름 조,そう,も
沙,모래 사,さ,
輔,도울 보,ふ·ほ,すけ·たすける
嫡,정실 적,ちゃく,
嵐,남기 람(남),,あらし
椎,"쇠몽치 추, 등골 추",つい,
嚇,성낼 혁,かく,
凸,볼록할 철,とつ,
郁,성할 욱,いく,かぐわしい·さかん·ふみ
韻,운 운,いん,
霜,서리 상,そう,しも
硝,화약 초,しょう,
楠,녹나무 이름 남,なん,くすのき
勅,"칙서 칙, 신칙할 칙",ちょく,
玲,옥 소리 령(영),れい,
棺,널 관,かん,
儒,선비 유,じゅ,
拳,주먹 권,けん,こぶし
翔,날 상,しょう,かける·とぶ
肇,비롯할 조,ちょう,はじめ·はじめる
愁,근심 수,しゅう,うれい·うれえる
楼,다락 루,ろう,
亨,형통할 형,きょう·こう·ほう,とおる·にる
薪,섶 신,しん,たきぎ
褐,"갈색 갈, 굵은 베 갈",かつ,
嶺,고개 령(영),りょう·れい,みね
喬,높을 교,きょう,おごる·たかい
賜,줄 사,し,たまわる
繕,기울 선,ぜん,つくろう
栓,마개 전,せん,
寅,"범 인, 동방 인",いん,つつしむ·とら
乃,이에 내,だい·ない,すなわち·なんじ·の
凹,오목할 요,おう,
洲,물가 주,しゅう,しま·す
樺,"벚나무 화, 자작나무 화",か,かば
槙,향나무 진,しん·てん,まき
巌,바위 암,がん,いわ·いわお·がけ·けわしい
睦,화목할 목,ぼく,
錬,단련할 련,れん,
胡,"되 호, 오랑캐 이름 호, 수염 호",う·こ·ご,いずくんぞ·えびす·でたらめ·ながいき·なんぞ·みだり
峻,"높을 준, 준엄할 준",しゅん,おおきい·きびしい·けわしい·たかい
衷,속마음 충,ちゅう,
第,차례 제,だい,
氏,"각시 씨, 성씨 씨, 나라 이름 지",し,うじ
宮,집 궁,きゅう·ぐう·く,みや
結,"맺을 결, 상투 계",けつ,むすぶ·ゆう·ゆわえる
案,책상 안,あん,
整,가지런할 정,せい,ととのう·ととのえる
挙,들 거,きょ,あがる·あげる
統,거느릴 통,とう,すべる
保,지킬 보,ほ,たもつ
基,터 기,き,もと·もとい
昭,밝을 소,しょう,
松,"소나무 송, 더벅머리 송",しょう,まつ
価,값 가,か,あたい
提,"끌 제, 떼지어 날 시",てい,さげる
票,표 표,ひょう,
応,응할 응,おう,こたえる
検,검사할 검,けん,
器,그릇 기,き,うつわ
士,선비 사,し,
証,증거 증,しょう,
級,등급 급,きゅう,
健,굳셀 건,けん,すこやか
護,도울 호,ご,
態,모습 태,たい,
条,조목 조,じょう,
幹,"줄기 간, 주관할 관",かん,みき
独,홀로 독,どく,ひとり
隊,"무리 대, 떨어질 추, 길 수",たい,
率,"거느릴 솔, 비율 률(율), 우두머리 수",りつ·そつ,ひきいる
派,갈래 파,は,
衛,지킬 위,えい,
張,베풀 장,ちょう,はる
里,마을 리(이),り,さと
義,옳을 의,ぎ,
策,꾀 책,さく,
評,평할 평,ひょう,
標,표할 표,ひょう,
製,지을 제,せい,
裁,옷 마를 재,さい,さばく·たつ
司,맡을 사,し,
康,편안 강,こう,
授,줄 수,じゅ,さずかる·さずける
紀,벼리 기,き,
博,넓을 박,はく·ばく,
救,구원할 구,きゅう,すくう
展,펼 전,てん,
視,볼 시,し,
修,닦을 수,しゅう·しゅ,おさまる·おさめる
織,"짤 직, 기치 치",しき·しょく,おる
故,연고 고,こ,ゆえ
矢,화살 시,し,や
弁,"고깔 변, 즐거워할 반",べん,
功,공 공,こう·く,
株,그루 주,かぶ,
素,"본디 소, 흴 소",そ·す,
養,기를 양,よう,やしなう
街,거리 가,がい·かい,まち
姿,모양 지,し,すがた
閣,집 각,かく,
益,더할 익,えき·やく,
衆,무리 중,しゅう·しゅ,
節,마디 절,せつ·せち,ふし
興,일 흥,きょう·こう,おこす·おこる
推,"밀 추, 밀 퇴",すい,おす
郡,고을 군,ぐん,
詩,시 시,し,
討,칠 토,とう,うつ
憲,법 헌,けん,
激,격할 격,げき,はげしい
系,이어맬 계,けい,
批,비평할 비,ひ,
盟,맹새 멩,めい,
志,"뜻 지, 기치 치 ",し,こころざし·こころざす
典,법 전,てん,
従,좇을 종,じゅう·じゅ·しょう,したがう·したがえる
拡,넓힐 확,かく,
就,나아갈 취,しゅう·じゅ,つく·つける
丁,"고무래 정, 장정 정",ちょう·てい,
異,다를 이(리),い,こと
厳,엄할 엄,げん·ごん,きびしい·おごそか
遺,남길 유,い·ゆい,
倉,곳집 창,そう,くら
模,"본뜰 모, 모호할 모",ぼ·も,
唱,부를 창,しょう,となえる
属,엮을 속,ぞく,
宣,베풀 선,せん,
盛,성할 성,せい·じょう,もる·さかる·さかん
皇,"임근 황, 갈 왕",おう·こう,
臨,임할 림(임),りん,のぞむ
企,꾀할 기,き,くわだてる
旗,기 기,き,はた
源,근원 원,げん,みなもと
豆,콩 두,ず·とう,まめ
創,비롯할 창,そう,つくる
障,막을 장,しょう,さわる
筋,힘줄 근,きん,すじ
災,재앙 재,さい,わざわい
沢,못 택,たく,さわ
暑,더울 서,しょ,あつい
善,착할 선,ぜん,よい
闘,싸울 투,とう,たたかう
葬,장사 지낼 장,そう,ほうむる
避,피할 피,ひ,さける
逮,"잡을 체, 미칠 태",たい,
迫,핍박할 박,はく,せまる
潮,"밀물 조, 조수 조",ちょう,しお
惑,미혹할 혹,わく,まどう
崩,무너질 붕,ほう,くずす·くずれる
聴,들을 청,ちょう,きく
芽,싹 아,が,め
脱,벗을 탈,だつ,ぬぐ·ぬげる
肥,살찔 비,ひ,こえ·こえる·こやし·こやす
鋼,강철 강,こう,はがね
笛,피리 적,てき,ふえ
締,맺을 체,てい,しまる·しめる
俵,나누어줄 표,ひょう,たわら
執,잡을 집,しつ·しゅう,とる
縦,"늘어질 종, 세로 종",じゅう,たて
房,방 방,ぼう,ふさ
撤,거둘 철,てつ,
削,"깎을 삭, 채지 소, 칼집 초",さく,けずる
措,"둘 조, 섞을 착, 잡을 책, 찌를 척",そ,
載,"실을 재, 일 대",さい,のせる·のる
陣,진칠 진,じん,
為,할 위,い,
抑,누를 억,よく,おさえる
眼,눈 안,がん·げん,まなこ
択,가릴 택,たく,
秀,빼어날 수,しゅう,ひいでる
徴,부를 징,ちょう,
弾,탄알 탄,だん,たま·はずむ·ひく
償,깊을 상,しょう,つぐなう
拠,의거할 거,きょ·こ,
拒,막을 거,きょ,こばむ
刑,형별 형,けい,
塚,무덤 총,,つか
致,"이를 치, 빽빽할 치",ち,いたす
繰,"고치 켤 조, 고치 켤 소",,くる
尾,꼬리 미,び,お
描,그릴 묘,びょう,えがく·かく
仁,어질 인,じん·に,
鈴,방울 령(영),りん·れい,すず
盤,소반 반,ばん,
項,항목 항,こう,
喪,잃을 상,そう,も
伴,짝 반,はん·ばん,ともなう
懸,달 현,けん·け,かかる·かける
腸,창자 장,ちょう,
契,"맺을 계, 새길 결, 보죽 이름 글, 사람 이름 설",けい,ちぎる
掲,높이 들 게,けい,かかげる
躍,"뛸 약, 빨리 달릴 적",やく,おどる
棄,버릴 기,き,
邸,집 저,てい,
還,"돌아올 환, 돌 선",かん,
穴,굴 혈,けつ,あな
潔,깨끗할 결,けつ,いさぎよい
慮,"생각할 려(여), 사실할 록(녹)",りょ,
暖,"따뜻할 난, 부드러울 훤",だん,あたたか·あたたかい·あたたまる·あたためる
朗,밝을 랑(낭),ろう,ほがらか
枠,벚나무 화,,わく
恵,은혜 혜,えけ·い,めぐむ
露,이슬 로(노),ろ·ろう,つゆ
沖,화할 충,ちゅう,おき
伊,저 이,い,かれ·これ·ただ
肺,허파 폐,はい,
緩,느릴 완,かん,ゆるい·ゆるむ·ゆるめる·ゆるやか
需,"쓰일 수, 쓸 수, 연할 연",じゅ,
購,살 구,こう,
充,채울 충,じゅう,あてる
貢,바칠 공,こう·く,みつぐ
却,물리칠 각,きゃく,
端,끝 단,たん,はし·はた·は
熟,익을 숙,じゅく,うれる
獲,얻을 획,かく,える
併,아우를 병,へい,あわせる
徹,통할 철,てつ,
衝,찌를 충,しょう,
焦,탈 초,しょう,こがす·こがれる·こげる·あせる
奪,빼앗을 탈,だつ,うばう
陛,대궐 섬돌 폐,へい,
浦,개 포,,うら
析,쪼갤 석,せき,
譲,사양할 양,じょう,ゆずる
称,일컬을 칭,しょう,
挑,"돋을 도, 기릴 조",ちょう,いどむ
誘,꾈 유,ゆう,さそう
紛,어지러울 분,ふん,まぎらす·まぎらわしい·まぎらわす·まぎれる
促,"재촉할 촉, 악착스러울 착",そく,うながす
慎,삼갈 신,しん,つつしむ
控,"당길 공, 칠 강",こう,ひかえる
握,죌 악,あく,にぎる
俊,준걸 준,しゅん,
渋,떫을 삽,じゅう,しぶ·しぶい·しぶる
銃,총 총,じゅう,
糖,"엿 당, 엿 탕",とう,
携,이끌 휴,けい,たずさえる·たずさわる
診,진찰할 진,しん,みる
託,부탁할 탁,たく,
撮,"모을 촬, 사진 찍을 촬",さつ,とる
侵,침노할 침,しん,おかす
逐,쫓을 축,ちく,
斥,물리칠 척,せき,
槻,둥근 느티나무 규,き,つき
蝶,나비 접,ちょう,
詔,"조서 조, 소개할 소",しょう,みことのり
琢,다듬을 탁,たく,みがく
蕉,파초 초,しょう,
宵,밤 소,しょう,よい
琉,유리 류,りゅう·る,
妄,망령될 망,ぼう·もう,
朋,벗 붕,ほう,とも·なかま
藍,"쪽 람(남), 볼 감",らん,あい
酌,"술 부을 작, 잔질할 작",しゃく,くむ
遼,멀 료(요),りょう,はるか
唄,염불 소리 패,,うた
橘,귤 귤,きつ,たちばな
漱,양치질할 수,そう,がい·くちすすぐ·すすぐ
呂,"성 려(여), 법칙 력(여)",ろ,
頒,"나눌 반, 머리 클 분",はん,
苑,"나라 동산 원, 막힐 울",うつ·えん·おん,その·ふさがる
巽,손괘 손,そん,たつみ·ゆずる
肢,팔다리 지,し,
杜,막을 두,ず·と,とじる·ふさぐ·もり·やまなし
謄,베낄 등,とう,
瞳,눈동자 동,どう,ひとみ
湧,끓어오를 용,ゆう,わく
欣,기쁠 흔,きん·ごん,よろこぶ
巴,꼬리 파,は,うずまき·ともえ
嗣,이을 사,し,
禎,상서로울 정,てい,さいわい
稜,모 날 릉(능),りょう·ろう,かど
倭,왜나라 왜,い·わ,やまと
畝,"이랑 무, 이랑 묘",,うね
抄,뽑을 초,しょう,
斐,문채 날 비,ひ,あや
魁,괴수 괴,かい,おおきい·かしら·さきがけ
惰,게으를 타,だ,
虹,무지개 홍,,にじ
鴻,기러기 홍,こう,おおきい·おおとり·ひしくい
蛮,오랑캐 만,ばん,
於,"어조사 어, 탄식할 오",お·よ,おいて·おける
赳,헌걸찰 규,きゅう,たけし
葵,"해바라기 규, 아욱 규",き,あおい
壱,한 일,いち,
禄,복 록,ろく,さいわい·ふち
孟,맏 맹,ぼう·まん·もう,はじめ
侯,"제후 후, 어조사 혜",こう,
尭,"높다 요, 임금 요",ぎょう,たかい
巳,뱀 사,し,み
弧,활 호,こ,
暢,화창할 창,ちょう,のびる·のべる·とおる
芹,미나리 근,きん,せり
杏,살구 행,あん·きょう,あんず
鳳,봉새 봉,ぶう·ほう,おおとり
馨,꽃다울 형,きょう·けい,か·かおり·かおる·かぐわしい·かんばしい
慧,슬기로울 혜,え·けい,かしこい·さとい
附,붙을 부,ふ,
彬,"빛날 빈, 밝을 반",ひん,あきらか
匡,바를 광,きょう,すくう·ただす
但,"다만 단, 거짓 탄",,ただし
眉,눈썹 미,み·び,まゆ
欽,"공경할 흠, 신음할 음",きん,うやまう·つつしむ
芋,"토란 우, 클 후",,いも
嵯,"우뚝 솟을 차, 울쑥불쑥할 치",さ,けわしい
綜,모을 종,そう,おさ·すべる·まじえる
翠,"푸를 취, 물총새 취",すい,かわせみ·みどり
鮎,메기 점,でん·ねん,あゆ·なまず
榛,개암나무 진,しん,はしばみ·はり
艶,고울 염,えん,つや
婆,할미 파,ば,
惣,거느릴 총,そう,すべて
蔦,담쟁이 조,ちょう,つた
隼,매 준,しゅん·じゅん,はやぶさ
渚,물가 저,しょ,なぎさ·みぎわ
倣,본뜰 방,ほう,ならう
稀,드물 희,き·け,うすい·まばら·まれ
芙,연꽃 부,ふ,はす
皐,"늪, 오월 고",こう,さつき·さわ
雛,병아리 추,す·すう,ひな·ひよこ
惟,생각할 유,い·ゆい,おもう·おもうに·おもんみる·これ·ただ
佑,도울 우,う·ゆう,たすけ·たすける
倹,검소할 검,けん,
耀,빛날 요,よう,かがやく
黛,눈썹먹 대,たい,かきまゆ·まゆ·まゆずみ
渥,두터울 악,あく,あつい·うるおい·こい
憧,동경할 동,しょう,あこがれる
惇,도타울 돈,じゅん·とん,あつい·まこと
脩,포 수,しゅう·ゆう,おさめる·ながい·ほじし
繭,고치 견,けん,まゆ
甫,"클 보, 채마밭 포",ふ·ほ,おおきい·はじめ
謁,뵐 알,えつ,
箇,낱 개,か,
且,"또 차, 공경스러울 저, 도마 조",,かつ
斤,근 근,きん,
虞,"엄려할 우, 나라 이름 우",,おそれ
墾,"개간할 간, 개간할 은",こん,
璽,옥새 새,じ,
勺,구기 작,しゃく,
爵,벼슬 작,しゃく,
遵,좇을 준,じゅん,
苗,모 묘,びょう,なえ·なわ
獣,짐승 수,じゅう,けもの
哀,슬플 애,あい,あわれ·あわれむ
跳,뛸 도,ちょう,とぶ·はねる
匠,장인 장,しょう,
蛇,"긴 뱀 사, 구불구불 갈 이",じゃ·だ,へび
澄,"맑을 징, 맑고 흐림이 나뉠 등",ちょう,すます·すむ
縫,꿰맬 봉,ほう,ぬう
僧,중 승,そう,
眺,불 조,ちょう,ながめる
唐,"당나라 당, 당황할 당",とう,から
呉,나라 이름 오,ご,
凡,무릇 범,ぼん·はん,
憩,쉴 게,けい,いこい·いこう
聡,귀 밝을 총,そう,さとい
溝,도랑 구,こう,みぞ
恭,공손할 공,きょう,うやうやしい
刈,벨 예,,かる
睡,졸음 수,すい,
錯,"어긋날 착, 둘 조",さく,
伯,맏 백,はく,
曙,새벽 서,しょ,あけぼの
陵,언덕 릉(능),りょう,みささぎ
霧,안개 무,む,きり
魂,넋 혼,こん,たましい
弊,"폐단 폐, 해질 폐, 닦을 별",へい,
妃,"왕비 비, 짝 배",ひ,
舶,배 박,はく,
餓,주릴 아,が,
窮,"다할 궁, 궁할 궁",きゅう,きわまる·きわめる
掌,손바닥 장,しょう,
麗,고울 려(여),れい,うるわしい
臭,"냄새 취, 맡을 후",しゅう,くさい·におう
悦,기쁠 열,えつ,
